"Name", "Stmts", "Miss", "Cover"
"armpicom/__init__.py", "9", "0", "100%"
"armpicom/core/__init__.py", "9", "0", "100%"
"armpicom/core/model/__init__.py", "9", "0", "100%"
"armpicom/core/model/project_setup.py", "14", "0", "100%"
"armpicom/core/service/__init__.py", "9", "0", "100%"
"armpicom/core/service/engine.py", "27", "0", "100%"
"armpicom/core/service/iservice.py", "14", "0", "100%"
"armpicom/core/service/isubprocessor.py", "14", "0", "100%"
"armpicom/engine.py", "57", "0", "100%"
"armpicom/infrastructure/__init__.py", "8", "0", "100%"
"armpicom/infrastructure/cli/__init__.py", "9", "0", "100%"
"armpicom/infrastructure/cli/engine.py", "39", "0", "100%"
"armpicom/infrastructure/cli/icli.py", "16", "0", "100%"
"armpicom/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"armpicom/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"armpicom/infrastructure/cli/setup/dep_validator.py", "28", "0", "100%"
"armpicom/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"armpicom/infrastructure/cli/setup/factory.py", "32", "0", "100%"
"armpicom/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"armpicom/infrastructure/cli/setup/opt_validator.py", "28", "0", "100%"
"armpicom/infrastructure/cli/setup/options.py", "15", "0", "100%"
"armpicom/infrastructure/cli/setup/registry.py", "21", "0", "100%"
"armpicom/infrastructure/cli/setup/validator.py", "35", "0", "100%"
"armpicom/infrastructure/command/__init__.py", "9", "0", "100%"
"armpicom/infrastructure/command/command.py", "16", "0", "100%"
"armpicom/infrastructure/command/gen_picom_command_definition.py", "24", "0", "100%"
"armpicom/infrastructure/command/gen_picom_command_executor.py", "21", "0", "100%"
"armpicom/infrastructure/command/icommand_definition.py", "15", "0", "100%"
"armpicom/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"armpicom/infrastructure/subprocessor.py", "55", "0", "100%"
"armpicom/setup/__init__.py", "9", "0", "100%"
"armpicom/setup/bundle.py", "23", "0", "100%"
"armpicom/setup/dep_validator.py", "28", "0", "100%"
"armpicom/setup/dependencies.py", "19", "0", "100%"
"armpicom/setup/factory.py", "45", "0", "100%"
"armpicom/setup/keys.py", "27", "0", "100%"
"armpicom/setup/opt_validator.py", "26", "0", "100%"
"armpicom/setup/options.py", "12", "0", "100%"
"armpicom/setup/registry.py", "29", "0", "100%"
"armpicom/setup/validator.py", "40", "0", "100%"
"Total", "880", "0", "100%"
